action_name,standard_type,frame_index,sequence,Nose_x,Right Eye_x,Left Eye_x,Right Ear_x,Left Ear_x,Right Shoulder_x,Left Shoulder_x,Right Elbow_x,Left Elbow_x,Right Wrist_x,Left Wrist_x,Right Hip_x,Left Hip_x,Right Knee_x,Left Knee_x,Right Ankle_x,Left Ankle_x,Nose_y,Right Eye_y,Left Eye_y,Right Ear_y,Left Ear_y,Right Shoulder_y,Left Shoulder_y,Right Elbow_y,Left Elbow_y,Right Wrist_y,Left Wrist_y,Right Hip_y,Left Hip_y,Right Knee_y,Left Knee_y,Right Ankle_y,Left Ankle_y
Dumbbell Flat Bench Press,nonstandard03,34,2,0.640718548,0.722483953,0.616764036,0.774329325,0.521657754,0.799366464,0.284131502,1,0.104738807,0.903724169,0.071788007,0.667375851,0.276245301,0.885561845,0.060352128,0.899113307,0,0.972023405,0.974119509,0.996802496,0.912533958,0.971129677,0.786389823,0.855836185,0.680240685,0.838647373,0.800491921,1,0.503326539,0.524260484,0.263272285,0.251906647,0.071738999,0
Dumbbell Flat Bench Press,nonstandard03,45,3,0.802584601,0.850177465,0.788051181,,0.729047107,0.892692864,0.576770665,1,0.475855964,0.949524143,0.498216011,0.794184065,0.55258535,0.923477277,0.421799215,0.927181852,0.377298967,0.57121587,0.573862721,0.586628829,,0.576622915,0.470313088,0.516065707,0.414502341,0.522266078,0.463575245,0.597465145,0.293642775,0.30754721,0.157603591,0.15321541,0.038903114,0
Dumbbell Flat Bench Press,nonstandard03,47,3,0.815442847,0.861542194,0.800326858,,0.73380157,0.89344495,0.575941596,1,0.481953555,0.947671766,0.513527023,0.795431862,0.552351956,0.926363688,0.423874339,0.928768024,0.379542276,0.568744184,0.572025166,0.584955221,,0.578078022,0.471937734,0.51841162,0.413296885,0.519576096,0.464748881,0.592971922,0.293215658,0.307106222,0.157057057,0.152811164,0.038630132,0
Dumbbell Flat Bench Press,nonstandard03,49,3,0.8094671,0.857050595,0.796858869,,0.736989755,0.893436919,0.577666589,1,0.479594211,0.94796079,0.510226144,0.791911622,0.550280154,0.924894765,0.422334604,0.923409552,0.376548625,0.570800746,0.573075989,0.586701021,,0.578657655,0.471878859,0.518612646,0.415014848,0.52069811,0.465289371,0.595139588,0.296359247,0.310388407,0.157898932,0.152942817,0.040745457,0
Dumbbell Flat Bench Press,nonstandard03,60,4,0.852358159,0.892008287,0.837705931,,0.755551229,0.89923617,0.577930161,1,0.488752323,0.954152067,0.529665103,0.798933773,0.552110142,0.932404248,0.424046702,0.934877224,0.377155881,0.548167874,0.552700882,0.565845385,,0.569715734,0.470780881,0.520923233,0.407372804,0.523734594,0.454523482,0.599813206,0.287701835,0.301834991,0.153918157,0.149935539,0.037223892,0
Dumbbell Flat Bench Press,nonstandard03,62,4,0.857468948,0.896139474,0.840594743,,0.755498258,0.902977931,0.579809548,1,0.488114836,0.956672742,0.529195303,0.801602334,0.553475545,0.93198939,0.425393565,0.938006978,0.377567764,0.550843531,0.556138761,0.568322793,,0.570449014,0.470613371,0.52036666,0.404281244,0.522497934,0.451790929,0.599473925,0.286330861,0.30022574,0.153450623,0.149509362,0.035628124,0
Dumbbell Flat Bench Press,nonstandard03,64,4,0.861466918,0.899353927,0.843306373,,0.756075725,0.905755898,0.580943486,1,0.488388637,0.956109477,0.528961196,0.802312644,0.553112581,0.929601502,0.423930784,0.939862066,0.37752514,0.550226254,0.556126515,0.567654461,,0.569823519,0.470974198,0.520001359,0.402881374,0.520809191,0.45006048,0.596669652,0.285509675,0.299188899,0.152430248,0.148612405,0.034449773,0
Dumbbell Flat Bench Press,nonstandard03,75,5,0.877098306,0.915350784,0.861298234,,0.772455399,0.912504436,0.590127963,1,0.500462758,0.959571273,0.53283809,0.803087742,0.555201652,0.935027964,0.427537481,0.939354267,0.380473792,0.540686153,0.546264837,0.559303112,,0.567176219,0.469232212,0.521644343,0.399195508,0.51900493,0.446504429,0.591528499,0.283043357,0.298448885,0.149492047,0.149529359,0.031513665,0
Dumbbell Flat Bench Press,nonstandard03,77,5,0.87922765,0.917925411,0.863436918,,0.773761383,0.913242768,0.590877978,1,0.50333021,0.958015221,0.535749173,0.801990281,0.553860348,0.935530557,0.427911183,0.94016227,0.38073707,0.540821775,0.546370437,0.559632622,,0.56819693,0.469896955,0.523714649,0.399166329,0.523779009,0.446166916,0.597880305,0.283675387,0.299481494,0.148956476,0.148912205,0.032183779,0
Dumbbell Flat Bench Press,nonstandard03,79,5,0.87768527,0.917502172,0.861389743,,0.771993266,0.914268231,0.589951081,1,0.501366689,0.957050156,0.535982175,0.803450678,0.554100836,0.938203955,0.428476804,0.939020357,0.379882912,0.540870776,0.546438415,0.559912137,,0.568336671,0.469278471,0.523682197,0.399760864,0.525002143,0.447189078,0.598533544,0.282850703,0.298926113,0.150325754,0.150849944,0.031786914,0
